quarter,marketCap
2020-01-01,168100246641.44998
2020-04-01,240244504551.83002
2020-07-01,310198439777.73
2020-10-01,722253660084.1799
2021-01-01,1760323040279.1501
2021-04-01,1298754847124.62
2021-07-01,1736294105376.52
2021-10-01,1931812836442.25
2022-01-01,1820498614104.86
2022-04-01,703137088235.65
2022-07-01,755736747396.47
2022-10-01,637401308298.2
2023-01-01,1025983114283.3699
2023-04-01,1047977553856.97
2023-07-01,935799828606.54
2023-10-01,1462128390624.2002
2024-01-01,2431443150784.29
2024-04-01,2075014345107.7397
