quarter,momentum
2020-01-01,0.05410843168263519
2020-04-01,0.041422831893482656
2020-07-01,0.2636911501624442
2020-10-01,0.03892364746107987
2021-01-01,0.2752444590114793
2021-04-01,0.06356570830301433
2021-07-01,0.3179739529810942
2021-10-01,0.054317427964779
2022-01-01,-0.01238783882593343
2022-04-01,-0.05723148076139922
2022-07-01,-0.015000130190758236
2022-10-01,-0.02592670360774805
2023-01-01,0.042445120204365784
2023-04-01,-0.010567641591106285
2023-07-01,0.05404062850995344
2023-10-01,0.08099611353311219
2024-01-01,0.056723110192214266
2024-04-01,-4.490609143191708e-06
