quarter,return
2020-01-01,0.12377703146509611
2020-04-01,0.22632996608676137
2020-07-01,1.3147304992923743
2020-10-01,0.16897380433430612
2021-01-01,1.236654112676654
2021-04-01,0.2927363602606824
2021-07-01,39.94196345482429
2021-10-01,0.18049002204377243
2022-01-01,0.09624213874139692
2022-04-01,0.02549574086159749
2022-07-01,0.05009793238888781
2022-10-01,0.027627422527055023
2023-01-01,0.11778381296461339
2023-04-01,0.07045776364220223
2023-07-01,6.808236096574144
2023-10-01,0.0880824065659645
2024-01-01,0.12814457636851304
2024-04-01,0.034406113406137424
