Quarter,blue chip,mid-cap,small-cap
2020-Q1,100.0,100.0,100.0
2020-Q2,1456.2248493239315,8648688.41851226,2.484941414641437e+24
2020-Q3,1076.0981460775645,7114072.75341446,1768159680624149.0
2020-Q4,1845.0172255302452,6887.237773012136,231611.32238858938
2021-Q1,24406188.323618725,1.5927890610961293e+23,6.825048228751903e+100
2021-Q2,148.8088237422206,1.5654384423978252e-05,1.21485695790523e-37
2021-Q3,2544.887806799583,65877576.12586422,9.256604405114742e+30
2021-Q4,502.38711096649683,64131.63322137394,2644778140.2487493
2022-Q1,23.307431583716397,0.045497923823014666,2.1066570332922194e-15
2022-Q2,0.04897387405397988,1.4970351528622311e-18,1.3618271461614625e-101
2022-Q3,235.13114114121598,0.0,0.0
2022-Q4,30.31487444146857,0.0017415823127064631,5.864133606132859e-30
2023-Q1,1777.7911844405103,756695302071.023,9.357014245820571e+38
2023-Q2,26.314364176166556,0.10130629961251142,4.8891971235825774e-21
2023-Q3,78.82541095824688,0.18281156731715156,2.9549994140318337e-09
2023-Q4,6524.319959174381,3.726790141136049e+17,2.8915023298382005e+65
2024-Q1,5427.948145058491,3855623073814242.0,5.98670754077567e+54
2024-Q2,15.805706104422447,4.342776274067024e-09,4.6881272089321076e-54
